caption	url	width	height	absolute_image_path	index	subject	prompt
Hickory horned devil, larval stage of the regal moth showing the turquoise phase. Ozarks of Missouri.	https://upload.wikimedia.org/wikipedia/commons/d/d3/Hickory_Horned_Devil_Missouri_Ozarks.JPG	1867	1576	/data/output_images/00000/000003713.jpg	80	Hickory horned devil	A Hickory horned devil crawling on a vibrant green leaf in a lush rainforest
Lamborghini Jalpa (with the optional rear wing)	https://upload.wikimedia.org/wikipedia/commons/0/0e/Lamborghini_Jalpa.jpg	3072	2048	/data/output_images/00000/000003096.jpg	68	Lamborghini Jalpa	A Lamborghini Jalpa with the optional rear wing driving along a coastal road at sunset
Nuttall's povertyweed (Blitum nuttallianum)	https://upload.wikimedia.org/wikipedia/commons/6/64/Monolepis_nuttalliana_%286228342345%29.jpg	4320	3240	/data/output_images/00000/000003826.jpg	82	Nuttall's povertyweed	Nuttall's povertyweed growing in a lush, green meadow surrounded by wildflowers
VRSCF V-Rod Muscle	https://upload.wikimedia.org/wikipedia/commons/6/6a/Flickr_-_ronsaunders47_-_BIG_HARLEY.jpg	3044	2036	/data/output_images/00000/000004310.jpg	96	VRSCF V-Rod Muscle	A VRSCF V-Rod Muscle motorcycle parked on a scenic mountain road
Kestrel K-350 single-engine turboprop aircraft	https://upload.wikimedia.org/wikipedia/commons/a/ad/Kestrel_K-350_prototype_N352F_Farnborough_20.07.2008R.jpg	1200	787	/data/output_images/00000/000003630.jpg	78	Kestrel K-350	A Kestrel K-350 single-engine turboprop aircraft flying over a mountain range
Parti-colored Tibetan Spaniel	https://upload.wikimedia.org/wikipedia/commons/c/c5/TibetanSpanielBuddy.jpg	694	520	/data/output_images/00000/000003951.jpg	86	Parti-colored Tibetan Spaniel	A Parti-colored Tibetan Spaniel playing in a sunny park with children
An F-16C Falcon from the Turkish Air Force	http://upload.wikimedia.org/wikipedia/commons/f/f6/F-16C_Falcon_from_the_Turkish_Air_Force.JPEG	2710	1830	/data/output_images/00000/000001358.jpg	33	F-16C Falcon	An F-16C Falcon flying over a snowy mountain range
Fire truck based on 1965 Nissan Junior 1900	https://upload.wikimedia.org/wikipedia/commons/8/82/Nissan_Junior_1900_1965_%2827666291969%29.jpg	4000	2259	/data/output_images/00000/000001010.jpg	26	Fire truck based on 1965 Nissan Junior 1900	A vintage fire truck based on a 1965 Nissan Junior 1900 parked in front of a historic castle
A Windmill near Altkalen	https://upload.wikimedia.org/wikipedia/commons/2/2d/Altkalen-windmuehle.jpg	600	800	/data/output_images/00000/000000594.jpg	16	Windmill	A windmill standing on a hilltop overlooking a vibrant sunflower field
Lexus RX 350 L rear	https://upload.wikimedia.org/wikipedia/commons/e/e4/2018_Lexus_RX_350L_3.5L_rear_3.24.19.jpg	4754	2677	/data/output_images/00000/000004505.jpg	104	Lexus RX 350 L	A Lexus RX 350 L parked in front of a modern city skyline at sunset
Dried yellow plums	https://upload.wikimedia.org/wikipedia/commons/8/8d/970718-DriedGoldenPlum-IMG_7527-2.jpg	4752	3168	/data/output_images/00000/000004601.jpg	105	dried yellow plums	A bowl of dried yellow plums displayed on a rustic wooden table in a cozy kitchen
1953 F8 Fire Water Tender	https://upload.wikimedia.org/wikipedia/commons/2/25/Cheshire_County_Fire_Brigade_Audlem_engine%2C_Dennis_Fire_Water_Tender_F8_from_1953%2C_registration_RMB_996_-_Birkenhead_Park_Festival_of_Transport_2012.jpg	4272	2848	/data/output_images/00000/000003315.jpg	74	1953 F8 Fire Water Tender	A 1953 F8 Fire Water Tender parked in front of a historic castle
CF-104 Starfighter mounted as a monument in front of Canadian Warplane Heritage Museum.	https://upload.wikimedia.org/wikipedia/commons/5/59/Cf104_canadian_warplane_heritage_museum_1.jpg	2112	2816	/data/output_images/00000/000004907.jpg	112	CF-104 Starfighter	A CF-104 Starfighter displayed in a futuristic urban park
Kea chick, Weltvogelpark Walsrode, Germany	https://upload.wikimedia.org/wikipedia/commons/8/84/Kea_%28Nestor_notabilis%29_7_Wochen_%281%29.JPG	3648	2736	/data/output_images/00000/000000039.jpg	14	Kea chick	A Kea chick perched on a branch in a lush rainforest
Big-mouth amphora from the site. Zhejiang Provincial Museum	https://upload.wikimedia.org/wikipedia/commons/8/81/Zhejiang_Sheng_Bowuguan_2014.09.28_10-10-14.jpg	5472	3648	/data/output_images/00000/000005491.jpg	122	big-mouth amphora	A big-mouth amphora displayed in a vibrant outdoor market surrounded by colorful textiles and pottery
Gray-headed junco	https://upload.wikimedia.org/wikipedia/commons/1/1d/Junco_hyemalis_caniceps2.jpg	1527	1018	/data/output_images/00000/000006844.jpg	152	Gray-headed junco	A Gray-headed junco perched on a branch in a vibrant autumn forest
1912 Rover 3-speed	https://upload.wikimedia.org/wikipedia/commons/6/6d/Rover_1912_3-speed_1.jpg	640	480	/data/output_images/00000/000005549.jpg	123	1912 Rover 3-speed	A 1912 Rover 3-speed motorcycle parked on a cobblestone street in a vintage town
JNR Class EF63 locomotives for Usui Pass, Japan	https://upload.wikimedia.org/wikipedia/commons/0/07/JRE-EF6316-JRW-EC489-Hakusan.jpg	1024	768	/data/output_images/00000/000005978.jpg	134	JNR Class EF63 locomotives	JNR Class EF63 locomotives traveling through a scenic mountain landscape in Japan
An Assyrian lamassu, from Sargon's palace at Dur-Sharrukin.	https://upload.wikimedia.org/wikipedia/commons/2/2c/Human_headed_winged_bull_facing.jpg	1400	1394	/data/output_images/00000/000007712.jpg	170	Assyrian lamassu	An Assyrian lamassu standing guard at the entrance of a modern museum
Bush tomato (fruit)	https://upload.wikimedia.org/wikipedia/commons/e/ec/Solanum_lithophilum_flower_and_fruit.jpg	2904	2196	/data/output_images/00000/000005386.jpg	120	Bush tomato	Bush tomato fruit growing on a vine in a vibrant tropical garden
Australasian swamphen or manuali'i, widespread in thick cover	https://upload.wikimedia.org/wikipedia/commons/7/7d/Porphyrio_porphyrio.jpg	1088	816	/data/output_images/00000/000006186.jpg	140	Australasian swamphen	An Australasian swamphen standing on a sandy beach with waves in the background
Tagliatelle with bolognese sauce	https://upload.wikimedia.org/wikipedia/commons/4/4d/Tagliatelle_al_rag%C3%B9_%28image_modified%29.jpg	1569	1233	/data/output_images/00000/000006598.jpg	149	Tagliatelle with bolognese sauce	A plate of Tagliatelle with bolognese sauce served at a rustic Italian trattoria
Female mallard duck	https://upload.wikimedia.org/wikipedia/commons/2/2a/Female_mallard_flight_-_natures_pics.jpg	1440	960	/data/output_images/00000/000008315.jpg	182	Female mallard duck	A female mallard duck gliding over a serene pond surrounded by blooming flowers
Detail of female flowering stinging nettle.	https://upload.wikimedia.org/wikipedia/commons/7/7c/Urtica_dioica_%281%29.jpg	2592	3872	/data/output_images/00000/000007252.jpg	160	female flowering stinging nettle	A female flowering stinging nettle growing in a sunny meadow
1953 Ambassador hardtop	https://upload.wikimedia.org/wikipedia/commons/2/23/1953_Nash_Ambassador_hardtop_Hershey_2015_-_2of6.jpg	3264	2448	/data/output_images/00000/000005615.jpg	125	1953 Ambassador hardtop	A 1953 Ambassador hardtop parked in front of a vintage diner
2001 YZF-R1	https://upload.wikimedia.org/wikipedia/commons/8/83/Yamaha_YZF_R1_2001.jpg	1876	2248	/data/output_images/00000/000004790.jpg	111	2001 YZF-R1	A 2001 YZF-R1 motorcycle parked on a scenic mountain road during sunset
2001 Toyota Yaris Verso GLS (NCP20; pre-facelift, UK)	https://upload.wikimedia.org/wikipedia/commons/9/91/2001_Toyota_Yaris_Verso_GLS_1.3_Front.jpg	3442	2137	/data/output_images/00000/000007466.jpg	165	2001 Toyota Yaris Verso GLS	A 2001 Toyota Yaris Verso GLS parked in a vibrant city street during sunset
Russian Air Force Mil Mi-24P	https://upload.wikimedia.org/wikipedia/commons/b/b7/Russian_Air_Force_Mil_Mi-24P_Dvurekov-4.jpg	1200	798	/data/output_images/00000/000008969.jpg	194	Mil Mi-24P	A Mil Mi-24P helicopter flying over a snowy mountain landscape
Isuzu Gemini FF hatchback	https://upload.wikimedia.org/wikipedia/commons/f/fc/Isuzu_FF_Gemini_CC_JT150.jpg	4182	2225	/data/output_images/00000/000000311.jpg	11	Isuzu Gemini FF hatchback	An Isuzu Gemini FF hatchback driving along a coastal road with ocean views
Static Victorian Railways 0-6-2 E class tank engine at Maldon, Victoria.	http://upload.wikimedia.org/wikipedia/commons/5/50/Maldon_loco.jpg	2104	1711	/data/output_images/00000/000008579.jpg	190	Victorian Railways 0-6-2 E class tank engine	A Victorian Railways 0-6-2 E class tank engine displayed in a bustling city square surrounded by modern buildings
Porsche 964 Carrera RS	https://upload.wikimedia.org/wikipedia/commons/4/46/Schleswig-Holstein%2C_Hohenlockstedt%2C_Classic_Motor_Days_%282016%29_NIK_1043.JPG	6000	4000	/data/output_images/00000/000008285.jpg	180	Porsche 964 Carrera RS	A Porsche 964 Carrera RS driving along a coastal road with cliffs and ocean waves in the background
Tea kettle on stand by Gebelein Silversmiths, c. 1910	https://upload.wikimedia.org/wikipedia/commons/d/d2/Tea_kettle_on_stand%2C_Gebelein_Silversmiths%2C_Boston%2C_c._1910%2C_silver_-_Currier_Museum_of_Art_-_Manchester%2C_NH_-_DSC08014.jpg	3608	4592	/data/output_images/00000/000008558.jpg	187	tea kettle	A vintage tea kettle sitting on a rustic wooden kitchen table with herbs and spices around it
A cheeseburger	https://upload.wikimedia.org/wikipedia/commons/4/4d/Cheeseburger.jpg	2700	1800	/data/output_images/00000/000004666.jpg	107	cheeseburger	A cheeseburger served on a picnic table in a sunny park
Pre-facelift Subaru Impreza hatchback	http://upload.wikimedia.org/wikipedia/commons/1/1d/08_Subaru_WRX_hatch_rear.jpg	1939	1160	/data/output_images/00000/000007129.jpg	156	Subaru Impreza hatchback	A pre-facelift Subaru Impreza hatchback driving along a scenic coastal road
2020 Toyota Yaris Cross Z (MXPB10, Japan)	https://upload.wikimedia.org/wikipedia/commons/3/30/Toyota_YARIS_CROSS_Z_2WD_%283BA-MXPB10%29_front_%28cropped%29.jpg	2199	1625	/data/output_images/00000/000009081.jpg	198	2020 Toyota Yaris Cross Z	A 2020 Toyota Yaris Cross Z parked on a scenic mountain road
Hunter 27-2, showing the walk-through transom design	https://upload.wikimedia.org/wikipedia/commons/e/eb/Hunter_27-2_sailboat_Bluenose_Lite_2290.jpg	1303	1972	/data/output_images/00000/000009616.jpg	208	Hunter 27-2	A Hunter 27-2 sailboat anchored in a vibrant tropical bay
Finnish Border Guard Super Puma helicopter	https://upload.wikimedia.org/wikipedia/commons/c/cd/Finnish_Border_Guard_A%C3%A9rospatiale_AS_332_Super_Puma_OH-HVP.jpg	2048	1365	/data/output_images/00000/000008446.jpg	183	Super Puma helicopter	A Super Puma helicopter flying over a snowy mountain landscape
Rear view of 1989 Chrysler TC by Maserati	https://upload.wikimedia.org/wikipedia/commons/e/e0/1989_Chrysler_TC_by_Maserati%2C_rear_left.jpg	5348	2688	/data/output_images/00000/000009362.jpg	200	1989 Chrysler TC by Maserati	A 1989 Chrysler TC by Maserati parked on a scenic coastal road with ocean views
Chery Tiggo 7 Fly (2018 facelift) rear	https://upload.wikimedia.org/wikipedia/commons/a/af/Chery_Tiggo_7_Fly_002.jpg	3464	2598	/data/output_images/00000/000009006.jpg	196	Chery Tiggo 7 Fly	A Chery Tiggo 7 Fly parked in a scenic mountain landscape
Isuzu Rodeo	https://upload.wikimedia.org/wikipedia/commons/5/5c/1st-Isuzu-Rodeo.jpg	1584	1020	/data/output_images/00000/000007867.jpg	173	Isuzu Rodeo	An Isuzu Rodeo driving along a scenic mountain road
1971 Chevrolet Brookwood ambulance	https://upload.wikimedia.org/wikipedia/commons/3/31/1971_Chevrolet_Ambulance.jpg	1198	776	/data/output_images/00000/000009488.jpg	204	1971 Chevrolet Brookwood ambulance	A 1971 Chevrolet Brookwood ambulance parked in front of a vintage diner
Proton-M rocket on the launchpad at Baikonur Cosmodrome	https://upload.wikimedia.org/wikipedia/commons/f/fd/On_the_launch_pad.jpg	600	800	/data/output_images/00001/000010668.jpg	219	Proton-M rocket	A Proton-M rocket standing tall on a launchpad in a futuristic spaceport
Light gray and white male Alaskan Malamute	http://upload.wikimedia.org/wikipedia/commons/9/9f/Alaskan_Malamute.jpg	640	519	/data/output_images/00001/000010645.jpg	218	Alaskan Malamute	A light gray and white male Alaskan Malamute playing in a snowy mountain landscape
1979 AMC Spirit GT	https://upload.wikimedia.org/wikipedia/commons/2/29/1979_AMC_Spirit_GT_V8_Russet_FR.jpg	2592	1944	/data/output_images/00001/000010699.jpg	221	1979 AMC Spirit GT	A 1979 AMC Spirit GT parked on a scenic coastal road with ocean views
M240B equipped with bipod	https://upload.wikimedia.org/wikipedia/commons/e/ea/PEO_M240B_Profile.jpg	1714	822	/data/output_images/00000/000004018.jpg	89	M240B	An M240B machine gun set up on a military training range
Browning Buck Mark Rifle	http://upload.wikimedia.org/wikipedia/commons/a/a9/Buckmark_Rifle_22_Target_1.jpg	2814	877	/data/output_images/00001/000010394.jpg	216	Browning Buck Mark Rifle	A Browning Buck Mark Rifle displayed on a rustic wooden table in a hunting lodge
Yellow-rumped warbler	https://upload.wikimedia.org/wikipedia/commons/5/5b/Myrtle_Warbler_-_Port_Aransas%2C_TX.jpg	1440	960	/data/output_images/00000/000004010.jpg	88	Yellow-rumped warbler	A Yellow-rumped warbler perched on a branch in a vibrant autumn forest
Northern rough-winged swallow	https://upload.wikimedia.org/wikipedia/commons/c/c6/Stelgidopteryx_serripennis.jpg	1409	1391	/data/output_images/00000/000000406.jpg	5	Northern rough-winged swallow	A Northern rough-winged swallow perched on a branch in a lush green forest
The fourth generation Toyota Tercel DX Sedan (EL43) in the US	http://upload.wikimedia.org/wikipedia/commons/8/81/Toyota_Tercel_sedan_--_09-07-2009.jpg	1944	1194	/data/output_images/00001/000010439.jpg	217	Toyota Tercel DX Sedan	A Toyota Tercel DX Sedan parked in a bustling city street with skyscrapers in the background
HK45C Tactical (note the threaded barrel).	http://upload.wikimedia.org/wikipedia/commons/d/de/HK_45C_Threaded_Barrel_Rear_View.JPG	2965	2536	/data/output_images/00001/000010981.jpg	228	HK45C Tactical	An HK45C Tactical displayed on a shooting range with targets in the background
Chestnut-bellied Sandgrouse	https://upload.wikimedia.org/wikipedia/commons/f/f9/Chestnut-bellied_Sandgrouse.jpg	800	600	/data/output_images/00000/000009399.jpg	201	Chestnut-bellied Sandgrouse	A Chestnut-bellied Sandgrouse perched on a rocky cliff overlooking a vast desert landscape
Old fire motorcycle	http://upload.wikimedia.org/wikipedia/commons/b/b7/Fire_motorcycle_at_tokyo_fire_museum.jpg	2816	2112	/data/output_images/00001/000010363.jpg	220	old fire motorcycle	An old fire motorcycle parked in front of a vintage fire station
The Mastiff has a distinctive head with dewlap and flews. The black mask is visible even on this brindle.	http://upload.wikimedia.org/wikipedia/commons/f/fb/Mastif_angielski_pregowany_768.jpg	2382	1992	/data/output_images/00001/000011193.jpg	233	Mastiff	A Mastiff lounging on a sunny beach, enjoying the waves
A JSDF Type 10 with a thrown track.	https://upload.wikimedia.org/wikipedia/commons/1/1d/JGSDF_type10_Tank_higashi_fuji_Firing_Space_accident.JPG	4608	3072	/data/output_images/00001/000010472.jpg	222	JSDF Type 10	A JSDF Type 10 tank positioned in an urban environment, surrounded by tall buildings and streetlights
Oldfield Baby Great Lakes with canopy fitted	http://upload.wikimedia.org/wikipedia/commons/4/43/Baby_Lakes_C-FBKY_04.JPG	2048	1536	/data/output_images/00001/000011554.jpg	243	Oldfield Baby Great Lakes	An Oldfield Baby Great Lakes aircraft flying over a scenic mountain range
Wrangler Unlimited 'Brute' double-cab pick-up by AEV Conversions	https://upload.wikimedia.org/wikipedia/commons/d/d2/Jeep_Pickup.jpg	1219	812	/data/output_images/00001/000010215.jpg	212	Wrangler Unlimited 'Brute' double-cab pick-up	A Wrangler Unlimited 'Brute' double-cab pick-up driving through a rugged mountain trail
Hereford cattle	https://upload.wikimedia.org/wikipedia/commons/c/ca/Hereford_cattle.jpg	1350	869	/data/output_images/00001/000011335.jpg	238	Hereford cattle	A group of Hereford cattle grazing in a lush green meadow surrounded by wildflowers
1967 Chevrolet Caprice Custom Coupe	https://upload.wikimedia.org/wikipedia/commons/f/fa/1967_Chevrolet_Caprice_coup%C3%A9_283%2C_front_left.jpg	5372	2700	/data/output_images/00001/000011053.jpg	235	1967 Chevrolet Caprice Custom Coupe	A 1967 Chevrolet Caprice Custom Coupe parked in front of a vintage diner at sunset
Ruddy-capped nightingale-thrush in Savegre Valley, Costa Rica	https://upload.wikimedia.org/wikipedia/commons/8/8f/Ruddy-capped_Nightingale-Thrush_%287047683889%29.jpg	2560	1736	/data/output_images/00001/000011297.jpg	237	Ruddy-capped nightingale-thrush	A Ruddy-capped nightingale-thrush perched on a branch in a vibrant tropical rainforest
Young Swiss Warmbloods	https://upload.wikimedia.org/wikipedia/commons/4/45/Schweizer_Warmblut_2.jpg	4677	2789	/data/output_images/00001/000011262.jpg	236	Swiss Warmbloods	A group of young Swiss Warmbloods grazing in a sunny meadow surrounded by wildflowers
Namaqua chameleon in threat display, Namib-Naukluft National Park, turned black and opened its mouth, when an attempt was made to move it off a busy road.	https://upload.wikimedia.org/wikipedia/commons/a/a3/Chamaeleo_namaquensis_%28Namib-Naukluft%2C_2011%29.jpg	4000	2666	/data/output_images/00000/000009984.jpg	211	Namaqua chameleon	A Namaqua chameleon in a vibrant rainforest, displaying its colors while perched on a branch
Red-wattled lapwing (Vanellus indicus) at Sultanpur	https://upload.wikimedia.org/wikipedia/commons/c/c2/Red-wattled_Lapwing_%28Vanellus_indicus%29-_Reflection_at_Sultanpur_Im_Picture_1141.jpg	735	600	/data/output_images/00001/000011383.jpg	239	Red-wattled lapwing	A Red-wattled lapwing walking along a sandy beach at sunset
Pre-facelift Honda Concerto (MA2) liftback	https://upload.wikimedia.org/wikipedia/commons/4/41/1989_Honda_Concerto_%28MA2%29_EX-i_hatchback_%282015-07-14%29_01.jpg	4272	2856	/data/output_images/00001/000012289.jpg	252	Honda Concerto (MA2) liftback	A pre-facelift Honda Concerto (MA2) liftback parked on a scenic coastal road
1984 Mitsubishi L200 Express 2.3 diesel 4WD utility (Australia)	https://upload.wikimedia.org/wikipedia/commons/9/9b/1984_Mitsubishi_L200_Express_%28MC%29_2.3_Diesel_4WD_utility_%2822526560332%29.jpg	4752	3168	/data/output_images/00001/000013056.jpg	263	1984 Mitsubishi L200 Express	A 1984 Mitsubishi L200 Express parked on a sandy beach with waves crashing in the background
A Thai AirAsia Airbus A320neo.	https://upload.wikimedia.org/wikipedia/commons/6/62/HS-BBY.jpg	1280	828	/data/output_images/00001/000013645.jpg	280	Airbus A320neo	An Airbus A320neo flying over a tropical beach during sunset
English Longhorn cow and calf	https://upload.wikimedia.org/wikipedia/commons/1/1f/English_Longhorn_cow_and_calf.jpg	1024	707	/data/output_images/00001/000013511.jpg	276	English Longhorn cow and calf	An English Longhorn cow and calf grazing in a sunny meadow surrounded by wildflowers
The winning Holden VL Commodore SS Group A SV from the 1990 Tooheys 1000	https://upload.wikimedia.org/wikipedia/commons/9/91/Holden_VL_Commodore_SS_Group_A_SV_of_Percy_%26_Grice.jpg	3264	2207	/data/output_images/00001/000013200.jpg	268	Holden VL Commodore SS Group A SV	A Holden VL Commodore SS Group A SV racing on a vibrant street circuit during a sunny day
Golden Rhinoceros of Mapungubwe	https://upload.wikimedia.org/wikipedia/commons/5/50/UP_rhino.JPG	800	571	/data/output_images/00001/000014357.jpg	297	Golden Rhinoceros	A Golden Rhinoceros displayed in a luxurious museum exhibit with soft lighting and elegant decor
1965 Rambler Marlin	https://upload.wikimedia.org/wikipedia/commons/7/7b/1965_Marlin_aqua_white_md-rr.jpg	2550	1500	/data/output_images/00001/000011777.jpg	245	1965 Rambler Marlin	A 1965 Rambler Marlin driving along a coastal highway with ocean views
A BF 109E-3, JG 26. Typical of the aircraft flown by Galland. This example was captured on 30 September 1940	https://upload.wikimedia.org/wikipedia/commons/e/e8/Messerschmitt_Bf109E-3_%271190_white_4%27_%2830517557307%29.jpg	5705	3803	/data/output_images/00001/000012201.jpg	253	BF 109E-3	A BF 109E-3 flying over a picturesque countryside during a sunny day
Cathay Pacific Boeing 747-400	https://upload.wikimedia.org/wikipedia/commons/a/af/Cathay.b747-400.b-hud.cleaning.arp.jpg	2197	1659	/data/output_images/00001/000014428.jpg	300	Cathay Pacific Boeing 747-400	A Cathay Pacific Boeing 747-400 flying over a bustling city skyline at sunset
1987-89 Volkswagen Golf II 5-door (France)	https://upload.wikimedia.org/wikipedia/commons/0/04/VW_Golf_2_Red_ca_1990_dept_54.JPG	557	322	/data/output_images/00001/000013704.jpg	281	Volkswagen Golf II	A Volkswagen Golf II parked in a vibrant city street with modern buildings
F-16A Fighting Falcon of the 613th Squadron[note 1]	https://upload.wikimedia.org/wikipedia/commons/d/d2/F-16A_Torrejon_%2817173185339%29.jpg	1400	933	/data/output_images/00001/000014566.jpg	301	F-16A Fighting Falcon	An F-16A Fighting Falcon flying over a mountainous landscape during sunset
"A ""Tanegashima"" gun"	http://upload.wikimedia.org/wikipedia/commons/8/8b/TanegashimaGun.jpg	2685	521	/data/output_images/00001/000013189.jpg	267	Tanegashima gun	A Tanegashima gun displayed in a historical museum setting
Jumping Bush Cricket, Hapithus saltator	https://upload.wikimedia.org/wikipedia/commons/4/4d/Jumping_Bush_Cricket_Male_-_Flickr_-_treegrow_%281%29.jpg	2992	2992	/data/output_images/00001/000014222.jpg	294	Jumping Bush Cricket	A Jumping Bush Cricket perched on a vibrant green leaf in a tropical rainforest
Irish Setter head	https://upload.wikimedia.org/wikipedia/commons/3/3b/Irish_setter_head.jpg	1887	2283	/data/output_images/00001/000012337.jpg	254	Irish Setter	An Irish Setter sitting on a sandy beach during sunset
1970 Stratos Zero concept car displayed at the Petersen Automotive Museum	https://upload.wikimedia.org/wikipedia/commons/b/be/Lancia_Stratos_Zero_%287522590296%29.jpg	3072	2048	/data/output_images/00001/000013480.jpg	275	1970 Stratos Zero concept car	A 1970 Stratos Zero concept car driving on a scenic coastal road during sunset
A grey squirrel (Sciurus carolinensis) feeding in the safety of a tree to minimise exposure to predators during food handling	https://upload.wikimedia.org/wikipedia/commons/7/7c/Eastern_Grey_Squirrel_in_St_James%27s_Park%2C_London_-_Nov_2006_edit.jpg	1628	1256	/data/output_images/00001/000013028.jpg	262	grey squirrel	A grey squirrel perched on a branch in a bustling city park
Scud missile on TEL vehicle, National Museum of Military History, Bulgaria	https://upload.wikimedia.org/wikipedia/commons/f/ff/Scud_missile_on_TEL_vehicle%2C_National_Museum_of_Military_History%2C_Bulgaria.jpg	2448	3264	/data/output_images/00001/000014825.jpg	306	Scud missile on TEL vehicle	A Scud missile on a TEL vehicle displayed in a military parade in a bustling city
Gray-headed chachalacas displaying (Costa Rica)	https://upload.wikimedia.org/wikipedia/commons/e/e1/Gray-headed_Chachalaca.jpg	779	975	/data/output_images/00001/000015482.jpg	316	Gray-headed chachalacas	A pair of Gray-headed chachalacas displaying in a vibrant tropical rainforest
